Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
421,25,30.49,41.55,1,4.74,10.32,0.84,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.73,30.49,1117
422,25,33.92,46.23,1,4.74,10.32,0.84,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.73,33.92,1179
423,25,33.43,45.56,1,1.26,10.32,0.84,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.73,33.43,1137
424,25,33.92,46.23,1,1.26,10.32,0.84,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.73,33.92,1142
425,25,31.48,42.88,1,4.74,5.68,3.16,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.73,31.48,1184
426,25,34.92,47.57,1,4.74,5.68,3.16,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.73,34.92,1238
427,25,34.43,46.9,1,1.26,5.68,3.16,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.73,34.43,1278
428,25,34.92,47.57,1,1.26,5.68,3.16,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.73,34.92,1263
429,25,33.92,46.23,1,4.74,5.68,0.84,0,0,0,1.26,0,0,6.32,0,0,0,0,0,0,0,0.73,33.92,1231
430,25,34.41,46.9,1,4.74,5.68,0.84,0,0,0,4.74,0,0,1.68,0,0,0,0,0,0,0,0.73,34.41,1273
431,25,33.92,46.23,1,1.26,5.68,0.84,0,0,0,4.74,0,0,6.32,0,0,0,0,0,0,0,0.73,33.92,1196
432,25,37.36,50.92,1,1.26,5.68,0.84,0,0,0,1.26,0,0,1.68,0,0,0,0,0,0,0,0.73,37.36,1290
433,25,31.12,47.88,1,3,8,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.65,31.12,1176
434,25,40.47,38.54,1,3,8,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1.05,40.47,1153
435,25,38.14,44.87,1,3,4,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,38.14,1264
436,25,34.46,40.54,1,3,12,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,34.46,1118
437,25,37.22,43.78,1,3,8,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,37.22,1192
438,25,35.37,41.62,1,3,8,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,35.37,1145
439,25,37.68,44.32,1,0,8,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,37.68,1146
440,25,34.92,41.08,1,6,8,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,34.92,1145
441,25,38.14,44.87,1,3,8,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.85,38.14,1168
442,25,34.46,40.54,1,3,8,2,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0.85,34.46,1081
443,25,37.68,44.32,1,3,8,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.85,37.68,1139
444,25,34.92,41.08,1,3,8,2,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0.85,34.92,1102
445,25,36.3,42.7,1,3,8,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0.85,36.3,1118
446,25,55.18,29.81,0,0,0,9.25,1.92,3.84,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,1182
447,25,25.38,54.52,0,0,0,0,2,4,0,0,0,0,0,14.1,0,0,0,0,0,0,0.47,0,1204
448,25,35.72,38.54,0,0,19.74,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,1097
449,25,29.7,47.75,0,0,16.55,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,1104
450,25,26.88,28.76,0,0,0,0,2,4,0,0,0,38.35,0,0,0,0,0,0,0,0,0.93,0,1226
451,25,36.33,40.36,5.82,0,8.73,6.81,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0.9,6.24,1147
452,25,35.39,39.34,5.83,0,8.74,6.82,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0.9,6.07,1121
453,25,34.48,38.33,5.82,0,8.73,6.81,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0.9,5.92,1097
454,25,33.55,37.3,5.83,0,8.74,6.82,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0.9,5.75,1091
455,25,40.15,36.52,5.83,0,8.74,6.82,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,1.1,6.89,1118
456,25,39.18,35.55,5.83,0,8.74,6.82,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,1.1,6.72,1107
457,25,38.11,34.67,5.83,0,8.74,6.82,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,1.1,6.54,1102
458,25,37.14,33.7,5.83,0,8.74,6.82,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,1.1,6.37,1110
459,25,43.36,33.31,5.83,0,8.74,6.82,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,1.3,7.44,1137
460,25,42.25,32.51,5.82,0,8.73,6.81,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,1.3,7.26,1135
461,25,41.18,31.63,5.82,0,8.73,6.81,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,1.3,7.08,1133
462,25,40.05,30.8,5.83,0,8.74,6.82,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,1.3,6.87,1144
463,25,40.15,36.52,5.83,0,8.74,6.82,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,1.1,6.89,1123
464,25,39.18,35.55,5.83,0,8.74,6.82,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,1.1,6.72,1127
465,25,38.11,34.67,5.83,0,8.74,6.82,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,1.1,6.54,1134
466,25,37.14,33.7,5.83,0,8.74,6.82,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,1.1,6.37,1136
467,25,41.86,34.83,5.82,0,8.73,6.81,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,1.2,7.19,1139
468,25,40.79,33.96,5.82,0,8.73,6.81,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,1.2,7.01,1132
469,25,39.67,33.12,5.83,0,8.74,6.82,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,1.2,6.8,1133
470,25,38.66,32.21,5.82,0,8.73,6.81,0,0,0,0,0,7.76,0,0,0,0,0,0,0,0,1.2,6.64,1151
471,25,43.36,33.31,5.83,0,8.74,6.82,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,1.3,7.44,1142
472,25,42.25,32.51,5.82,0,8.73,6.81,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,1.3,7.26,1148
473,25,41.18,31.63,5.82,0,8.73,6.81,0,0,0,0,0,5.82,0,0,0,0,0,0,0,0,1.3,7.08,1153
474,25,40.05,30.79,5.83,0,8.74,6.82,0,0,0,0,0,7.77,0,0,0,0,0,0,0,0,1.3,6.87,1152
475,25,35,25.91,2.92,6.24,8.18,6.17,0,0,0,6.24,0,0,9.35,0,0,0,0,0,0,0,1.35,11.99,1156
476,25,43.19,34.09,2.92,1.56,8.18,6.17,0,0,0,1.56,0,0,2.34,0,0,0,0,0,0,0,1.27,14.79,1127
477,25,39.68,30.58,2.92,6.23,3.51,6.17,0,0,0,1.56,0,0,9.35,0,0,0,0,0,0,0,1.3,13.59,1222
478,25,43.19,34.09,2.92,1.56,3.51,6.17,0,0,0,6.23,0,0,2.34,0,0,0,0,0,0,0,1.27,14.79,1154
479,25,40.06,35.09,2.96,6.31,8.28,3.36,0,0,0,1.58,0,0,2.37,0,0,0,0,0,0,0,1.14,13.53,1134
480,25,36.51,31.54,2.96,1.58,8.28,3.36,0,0,0,6.31,0,0,9.46,0,0,0,0,0,0,0,1.16,12.33,1112
481,25,40.06,35.09,2.96,6.31,3.55,3.36,0,0,0,6.31,0,0,2.37,0,0,0,0,0,0,0,1.14,13.53,1181
482,25,41.24,36.27,2.96,1.58,3.55,3.36,0,0,0,1.58,0,0,9.46,0,0,0,0,0,0,0,1.14,13.93,1145
483,25,35.23,37.37,2.92,6.23,8.18,6.17,0,0,0,1.56,0,0,2.34,0,0,0,0,0,0,0,0.94,12.07,1150
484,25,32.35,33.23,2.92,1.56,8.18,6.17,0,0,0,6.24,0,0,9.35,0,0,0,0,0,0,0,0.97,11.08,1053
485,25,35.23,37.37,2.92,6.23,3.51,6.17,0,0,0,6.23,0,0,2.34,0,0,0,0,0,0,0,0.94,12.07,1238
486,25,36.2,38.74,2.92,1.56,3.51,6.17,0,0,0,1.56,0,0,9.35,0,0,0,0,0,0,0,0.93,12.4,1164
487,25,28.99,34.33,2.96,6.31,8.28,3.36,0,0,0,6.31,0,0,9.46,0,0,0,0,0,0,0,0.84,9.79,1092
488,25,35.8,44.08,2.96,1.58,8.28,3.36,0,0,0,1.58,0,0,2.37,0,0,0,0,0,0,0,0.81,12.09,1181
489,25,32.88,39.9,2.96,6.31,3.55,3.36,0,0,0,1.58,0,0,9.46,0,0,0,0,0,0,0,0.82,11.11,1191
490,25,35.8,44.08,2.96,1.58,3.55,3.36,0,0,0,6.31,0,0,2.37,0,0,0,0,0,0,0,0.81,12.09,1194
491,25,31.66,41.03,2.94,3.92,5.88,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0.77,10.77,1177
492,25,41.43,31.26,2.94,3.92,5.88,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,1.33,14.09,1202
493,25,36.3,38.52,2.97,3.96,5.94,2.42,0,0,0,3.96,0,0,5.94,0,0,0,0,0,0,0,0.94,12.22,1148
494,25,38.09,32.51,2.91,3.88,5.82,7.09,0,0,0,3.88,0,0,5.82,0,0,0,0,0,0,0,1.17,13.09,1129
495,25,39,37.61,2.94,3.92,1.96,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,1.04,13.27,1177
496,25,35.4,33.37,2.94,3.92,9.8,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,1.06,12.04,1075
497,25,39,37.61,2.94,0,5.88,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,1.04,13.27,1127
498,25,35.4,33.37,2.94,7.84,5.88,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,1.06,12.04,1152
499,25,39,37.61,2.94,3.92,5.88,4.77,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.04,13.27,1155
500,25,35.4,33.37,2.94,3.92,5.88,4.77,0,0,0,7.84,0,0,5.88,0,0,0,0,0,0,0,1.06,12.04,1127
501,25,39.9,38.67,2.94,3.92,5.88,4.77,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.03,13.57,1171
502,25,34.5,32.31,2.94,3.92,5.88,4.77,0,0,0,3.92,0,0,11.76,0,0,0,0,0,0,0,1.07,11.73,1111
503,25,37.2,35.49,2.94,3.92,5.88,4.77,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,1.05,12.65,1142
