Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
301,25,38.07,38.07,0,4.15,4.15,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1133
302,25,37.03,37.03,0,4.15,6.22,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1131
303,25,36,36,0,4.15,8.3,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1117
304,25,34.96,34.96,0,4.15,10.37,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1131
305,25,38.07,38.07,0,3.11,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1118
306,25,37.03,37.03,0,5.19,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1136
307,25,36.51,36.51,0,6.22,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1142
308,25,35.48,35.48,0,8.3,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1140
309,25,38.59,38.59,0,4.15,5.19,0,1.04,2.07,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1165
310,25,37.55,37.55,0,4.15,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1126
311,25,36.51,36.51,0,4.15,5.19,0,1.04,6.22,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1078
312,25,35.48,35.48,0,4.15,5.19,0,1.04,8.3,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1048
313,25,34.44,34.44,0,4.15,5.19,0,1.04,10.37,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1,0,1018
314,25,38.59,38.59,0,4.15,5.19,0,1.04,4.15,0,2.07,0,6.22,0,0,0,0,0,0,0,0,1,0,1120
315,25,38.07,38.07,0,4.15,5.19,0,1.04,4.15,0,3.11,0,6.22,0,0,0,0,0,0,0,0,1,0,1130
